time,count
,
8:45:37 p. m.,154
8:45:40 p. m.,1
8:45:42 p. m.,2
8:45:45 p. m.,3
8:45:47 p. m.,4
8:45:50 p. m.,5
8:45:52 p. m.,6
8:45:55 p. m.,7
8:45:58 p. m.,7
8:46:00 p. m.,9
8:46:02 p. m.,10
8:46:05 p. m.,11
8:46:07 p. m.,12
8:46:10 p. m.,13
8:46:12 p. m.,14
8:46:14 p. m.,15
8:46:16 p. m.,16
8:46:18 p. m.,17
8:46:21 p. m.,18
8:46:23 p. m.,19
8:46:25 p. m.,20
8:46:28 p. m.,21
8:46:30 p. m.,22
8:46:32 p. m.,23
8:46:34 p. m.,23
8:46:37 p. m.,25
8:46:39 p. m.,26
8:46:41 p. m.,27
8:46:44 p. m.,28
8:46:46 p. m.,29
8:46:48 p. m.,30
8:46:51 p. m.,31
8:46:53 p. m.,32
8:46:55 p. m.,33
8:46:57 p. m.,34
8:46:59 p. m.,35
8:47:02 p. m.,36
8:47:04 p. m.,37
8:47:06 p. m.,38
8:47:09 p. m.,39
8:47:11 p. m.,40
8:47:13 p. m.,41
8:47:15 p. m.,42
8:47:18 p. m.,43
8:47:20 p. m.,44
8:47:22 p. m.,45
8:47:25 p. m.,46
8:47:27 p. m.,46
8:47:29 p. m.,48
8:47:32 p. m.,48
8:47:34 p. m.,50
8:47:43 p. m.,51
8:47:45 p. m.,52
8:47:48 p. m.,53
8:47:50 p. m.,54
8:47:52 p. m.,55
8:47:55 p. m.,56
8:47:57 p. m.,57
8:47:59 p. m.,58
8:48:01 p. m.,59
8:48:03 p. m.,60
8:48:05 p. m.,61
8:48:08 p. m.,62
8:48:10 p. m.,63
8:48:12 p. m.,64
8:48:15 p. m.,65
8:48:17 p. m.,66
8:48:19 p. m.,67
8:48:21 p. m.,68
8:48:24 p. m.,69
8:48:26 p. m.,70
8:48:29 p. m.,71
8:48:31 p. m.,72
8:48:33 p. m.,73
8:48:35 p. m.,74
8:48:37 p. m.,74
8:48:39 p. m.,76
8:48:42 p. m.,77
8:48:44 p. m.,77
8:48:46 p. m.,79
8:48:49 p. m.,79
8:48:51 p. m.,80
8:48:53 p. m.,82
8:48:56 p. m.,82
8:48:58 p. m.,83
8:49:00 p. m.,84
8:49:02 p. m.,85
8:49:05 p. m.,87
8:49:07 p. m.,87
8:49:09 p. m.,88
8:49:11 p. m.,89
8:49:14 p. m.,91
8:49:16 p. m.,92
8:49:18 p. m.,93
8:49:21 p. m.,94
8:49:23 p. m.,95
8:49:25 p. m.,96
8:49:28 p. m.,97
8:49:30 p. m.,98
8:49:32 p. m.,99
8:49:34 p. m.,99
8:49:45 p. m.,101
8:49:47 p. m.,102
8:49:50 p. m.,103
8:49:52 p. m.,104
8:49:54 p. m.,105
8:49:57 p. m.,106
8:49:59 p. m.,107
8:50:02 p. m.,108
8:50:04 p. m.,109
8:50:06 p. m.,110
8:50:09 p. m.,111
8:50:11 p. m.,112
8:50:13 p. m.,113
8:50:16 p. m.,114
8:50:18 p. m.,115
8:50:20 p. m.,116
8:50:23 p. m.,117
8:50:25 p. m.,118
8:50:27 p. m.,119
8:50:30 p. m.,120
